"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.119.174.243","192.168.1.17","TLSv1.2","85","Encrypted Alert"
"2","0.000000","20.119.174.243","192.168.1.17","TCP","54","443  >  53901 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0"
"3","0.000194","192.168.1.17","20.119.174.243","TCP","54","53901  >  443 [ACK] Seq=1 Ack=33 Win=510 Len=0"
"4","1.941587","192.168.1.17","192.168.1.254","DNS","68","Standard query 0x185e AAAA b.6sc.co"
"5","1.942317","192.168.1.17","192.168.1.254","DNS","68","Standard query 0x60b8 A b.6sc.co"
"6","1.942907","192.168.1.17","192.168.1.254","DNS","68","Standard query 0xdfc9 HTTPS b.6sc.co"
"7","1.943757","192.168.1.17","23.193.114.56","TLSv1.2","1046","Application Data"
"8","1.943945","192.168.1.17","23.193.114.56","TLSv1.2","93","Application Data"
"9","1.948259","192.168.1.254","192.168.1.17","DNS","199","Standard query response 0x185e AAAA b.6sc.co CNAME b2.6sc.co.edgekey.net CNAME e212585.b.akamaiedge.net SOA n0b.akamaiedge.net"
"10","1.949963","23.193.114.56","192.168.1.17","TCP","54","443  >  52778 [ACK] Seq=1 Ack=993 Win=1391 Len=0"
"11","1.950883","23.193.114.56","192.168.1.17","TCP","54","443  >  52778 [ACK] Seq=1 Ack=1032 Win=1391 Len=0"
"12","1.950883","23.193.114.56","192.168.1.17","TLSv1.2","93","Application Data"
"13","1.950883","192.168.1.254","192.168.1.17","DNS","199","Standard query response 0xdfc9 HTTPS b.6sc.co CNAME b2.6sc.co.edgekey.net CNAME e212585.b.akamaiedge.net SOA n0b.akamaiedge.net"
"14","1.970227","192.168.1.254","192.168.1.17","DNS","498","Standard query response 0x60b8 A b.6sc.co CNAME b2.6sc.co.edgekey.net CNAME e212585.b.akamaiedge.net A 23.11.215.83 A 23.11.215.11 NS n3b.akamaiedge.net NS n7b.akamaiedge.net NS n0b.akamaiedge.net NS n5b.akamaiedge.net NS n6b.akamaiedge.net NS n1b.akamaiedge.net NS n4b.akamaiedge.net NS n2b.akamaiedge.net A 125.56.222.148 A 88.221.81.192 AAAA 2600:1480:e800::c0 A 125.56.222.150 A 125.56.222.151 A 23.57.76.107 A 125.56.222.149 AAAA 2600:1417:e:f000:6791:e4ca:8309:2ce0 A 118.214.167.6 A 23.57.76.105"
"15","1.997264","192.168.1.17","23.193.114.56","TCP","54","52778  >  443 [ACK] Seq=1032 Ack=40 Win=259 Len=0"
"16","2.140321","23.193.114.56","192.168.1.17","TLSv1.2","282","Application Data"
"17","2.140321","23.193.114.56","192.168.1.17","TLSv1.2","128","Application Data"
"18","2.140575","192.168.1.17","23.193.114.56","TCP","54","52778  >  443 [ACK] Seq=1032 Ack=342 Win=257 Len=0"
"19","2.142975","192.168.1.17","23.193.114.56","TLSv1.2","89","Application Data"
"20","2.148616","23.193.114.56","192.168.1.17","TCP","54","443  >  52778 [ACK] Seq=342 Ack=1067 Win=1391 Len=0"
"21","2.172430","103.43.90.114","192.168.1.17","TLSv1.2","100","Application Data"
"22","2.172430","103.43.90.114","192.168.1.17","TLSv1.2","85","Encrypted Alert"
"23","2.172539","192.168.1.17","103.43.90.114","TCP","54","53902  >  443 [ACK] Seq=1 Ack=79 Win=63620 Len=0"
"24","2.172874","192.168.1.17","103.43.90.114","TCP","54","53902  >  443 [FIN, ACK] Seq=1 Ack=79 Win=63620 Len=0"
"25","2.234849","103.43.90.114","192.168.1.17","TCP","54","443  >  53902 [ACK] Seq=79 Ack=2 Win=42106 Len=0"
"26","3.790286","fe80::1","fe80::53cc:5d4e:e708:267a","ICMPv6","86","Neighbor Solicitation for fe80::53cc:5d4e:e708:267a from 04:25:e0:d7:16:80"
"27","3.790449","fe80::53cc:5d4e:e708:267a","fe80::1","ICMPv6","86","Neighbor Advertisement fe80::53cc:5d4e:e708:267a (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"28","3.792238","TaicangT&WEl_d7:16:80","Intel_ba:5b:5d","ARP","60","Who has 192.168.1.17? Tell 192.168.1.254"
"29","3.792325","Intel_ba:5b:5d","TaicangT&WEl_d7:16:80","ARP","42","192.168.1.17 is at 84:c5:a6:ba:5b:5d"
"30","3.793040","2402:e280:3dea:2f0::1","2402:e280:3dea:2f0:bf87:843e:7a22:b218","ICMPv6","86","Neighbor Solicitation for 2402:e280:3dea:2f0:bf87:843e:7a22:b218 from 04:25:e0:d7:16:80"
"31","3.793186","2402:e280:3dea:2f0:bf87:843e:7a22:b218","2402:e280:3dea:2f0::1","ICMPv6","86","Neighbor Advertisement 2402:e280:3dea:2f0:bf87:843e:7a22:b218 (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"32","3.795251","2402:e280:3dea:2f0::1","2402:e280:3dea:2f0:3065:c6bd:d96:9f57","ICMPv6","86","Neighbor Solicitation for 2402:e280:3dea:2f0:3065:c6bd:d96:9f57 from 04:25:e0:d7:16:80"
"33","3.795452","2402:e280:3dea:2f0:3065:c6bd:d96:9f57","2402:e280:3dea:2f0::1","ICMPv6","86","Neighbor Advertisement 2402:e280:3dea:2f0:3065:c6bd:d96:9f57 (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"34","3.797483","2402:e280:3dea:2f0::1","2402:e280:3dea:2f0:c818:33e0:411:b0eb","ICMPv6","86","Neighbor Solicitation for 2402:e280:3dea:2f0:c818:33e0:411:b0eb from 04:25:e0:d7:16:80"
"35","3.797651","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2402:e280:3dea:2f0::1","ICMPv6","86","Neighbor Advertisement 2402:e280:3dea:2f0:c818:33e0:411:b0eb (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"36","4.049477","192.168.1.17","108.159.72.214","TCP","55","53714  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1 [TCP segment of a reassembled PDU]"
"37","4.056891","108.159.72.214","192.168.1.17","TCP","66","443  >  53714 [ACK] Seq=1 Ack=2 Win=213 Len=0 SLE=1 SRE=2"
"38","4.065283","192.168.1.17","34.149.50.64","TCP","55","52875  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"39","4.071307","34.149.50.64","192.168.1.17","TCP","66","443  >  52875 [ACK] Seq=1 Ack=2 Win=492 Len=0 SLE=1 SRE=2"
"40","4.113547","192.168.1.17","207.65.33.78","TCP","55","52874  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"41","4.129334","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2606:4700:10::ac43:17ea","TCP","75","52864  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"42","4.137590","2606:4700:10::ac43:17ea","2402:e280:3dea:2f0:c818:33e0:411:b0eb","TCP","86","443  >  52864 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"43","4.179104","207.65.33.78","192.168.1.17","TCP","54","443  >  52874 [ACK] Seq=1 Ack=2 Win=20969 Len=0"
"44","4.192337","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2606:4700::6812:ab0","TCP","75","52868  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1 [TCP segment of a reassembled PDU]"
"45","4.198419","2606:4700::6812:ab0","2402:e280:3dea:2f0:c818:33e0:411:b0eb","TCP","86","443  >  52868 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"46","4.287023","192.168.1.17","34.120.63.153","TCP","55","52876  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1 [TCP segment of a reassembled PDU]"
"47","4.287203","192.168.1.17","54.169.90.152","TCP","55","53823  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"48","4.291995","34.120.63.153","192.168.1.17","TCP","66","443  >  52876 [ACK] Seq=1 Ack=2 Win=578 Len=0 SLE=1 SRE=2"
"49","4.347023","54.169.90.152","192.168.1.17","TCP","66","443  >  53823 [ACK] Seq=1 Ack=2 Win=21 Len=0 SLE=1 SRE=2"
"50","4.914033","192.168.1.17","34.149.40.38","TCP","55","52879  >  443 [ACK] Seq=1 Ack=1 Win=256 Len=1 [TCP segment of a reassembled PDU]"
"51","4.922176","34.149.40.38","192.168.1.17","TCP","66","443  >  52879 [ACK] Seq=1 Ack=2 Win=274 Len=0 SLE=1 SRE=2"
"52","5.372757","192.168.1.17","35.244.159.8","TCP","55","52880  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]"
"53","5.378656","35.244.159.8","192.168.1.17","TCP","66","443  >  52880 [ACK] Seq=1 Ack=2 Win=327 Len=0 SLE=1 SRE=2"
"54","5.690555","192.168.1.17","199.232.105.108","TCP","55","53830  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1 [TCP segment of a reassembled PDU]"
"55","5.712298","199.232.105.108","192.168.1.17","TCP","66","443  >  53830 [ACK] Seq=1 Ack=2 Win=291 Len=0 SLE=1 SRE=2"
"56","6.004506","192.168.1.17","151.101.1.108","TCP","55","53831  >  443 [ACK] Seq=1 Ack=1 Win=259 Len=1 [TCP segment of a reassembled PDU]"
"57","6.011518","151.101.1.108","192.168.1.17","TCP","66","443  >  53831 [ACK] Seq=1 Ack=2 Win=292 Len=0 SLE=1 SRE=2"
"58","6.524222","2402:e280:3dea:2f0:c818:33e0:411:b0eb","64:ff9b::45ad:9e40","TCP","75","53268  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"59","6.592472","64:ff9b::45ad:9e40","2402:e280:3dea:2f0:c818:33e0:411:b0eb","TCP","74","443  >  53268 [ACK] Seq=1 Ack=2 Win=33888 Len=0"
"60","8.351759","54.169.90.152","192.168.1.17","TCP","54","[TCP Keep-Alive] 443  >  53823 [ACK] Seq=0 Ack=2 Win=21 Len=0"
"61","8.351912","192.168.1.17","54.169.90.152","TCP","54","[TCP Keep-Alive ACK] 53823  >  443 [ACK] Seq=2 Ack=1 Win=256 Len=0"
"62","8.886887","fe80::1","fe80::53cc:5d4e:e708:267a","ICMPv6","86","Neighbor Solicitation for fe80::53cc:5d4e:e708:267a from 04:25:e0:d7:16:80"
"63","8.886950","fe80::53cc:5d4e:e708:267a","fe80::1","ICMPv6","86","Neighbor Advertisement fe80::53cc:5d4e:e708:267a (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"64","8.888542","TaicangT&WEl_d7:16:80","Intel_ba:5b:5d","ARP","60","Who has 192.168.1.17? Tell 192.168.1.254"
"65","8.888561","Intel_ba:5b:5d","TaicangT&WEl_d7:16:80","ARP","42","192.168.1.17 is at 84:c5:a6:ba:5b:5d"
"66","8.889678","2402:e280:3dea:2f0::1","2402:e280:3dea:2f0:bf87:843e:7a22:b218","ICMPv6","86","Neighbor Solicitation for 2402:e280:3dea:2f0:bf87:843e:7a22:b218 from 04:25:e0:d7:16:80"
"67","8.889716","2402:e280:3dea:2f0:bf87:843e:7a22:b218","2402:e280:3dea:2f0::1","ICMPv6","86","Neighbor Advertisement 2402:e280:3dea:2f0:bf87:843e:7a22:b218 (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"68","8.891620","2402:e280:3dea:2f0::1","2402:e280:3dea:2f0:3065:c6bd:d96:9f57","ICMPv6","86","Neighbor Solicitation for 2402:e280:3dea:2f0:3065:c6bd:d96:9f57 from 04:25:e0:d7:16:80"
"69","8.891653","2402:e280:3dea:2f0:3065:c6bd:d96:9f57","2402:e280:3dea:2f0::1","ICMPv6","86","Neighbor Advertisement 2402:e280:3dea:2f0:3065:c6bd:d96:9f57 (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"70","8.893999","2402:e280:3dea:2f0::1","2402:e280:3dea:2f0:c818:33e0:411:b0eb","ICMPv6","86","Neighbor Solicitation for 2402:e280:3dea:2f0:c818:33e0:411:b0eb from 04:25:e0:d7:16:80"
"71","8.894029","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2402:e280:3dea:2f0::1","ICMPv6","86","Neighbor Advertisement 2402:e280:3dea:2f0:c818:33e0:411:b0eb (sol, ovr) is at 84:c5:a6:ba:5b:5d"
"72","9.888399","192.168.1.17","192.168.1.254","DNS","74","Standard query 0xba26 AAAA www.google.com"
"73","9.888585","192.168.1.17","192.168.1.254","DNS","74","Standard query 0x4bc1 A www.google.com"
"74","9.888754","192.168.1.17","192.168.1.254","DNS","74","Standard query 0x4d43 HTTPS www.google.com"
"75","9.892347","192.168.1.254","192.168.1.17","DNS","102","Standard query response 0xba26 AAAA www.google.com AAAA 2404:6800:4009:802::2004"
"76","9.895691","192.168.1.254","192.168.1.17","DNS","99","Standard query response 0x4d43 HTTPS www.google.com HTTPS"
"77","9.895963","192.168.1.254","192.168.1.17","DNS","90","Standard query response 0x4bc1 A www.google.com A 142.250.70.36"
"78","9.897132","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","1292","Initial, DCID=b9ba9f5a3c55e09a, PKN: 1, PING, PADDING, PING, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, PING, PING"
"79","9.897508","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","137","0-RTT, DCID=b9ba9f5a3c55e09a"
"80","9.897946","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","1288","0-RTT, DCID=b9ba9f5a3c55e09a"
"81","9.898006","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","793","0-RTT, DCID=b9ba9f5a3c55e09a"
"82","9.928278","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Initial, SCID=f9ba9f5a3c55e09a, PKN: 1, ACK, PADDING"
"83","9.964599","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Handshake, SCID=f9ba9f5a3c55e09a"
"84","9.964599","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","854","Protected Payload (KP0)"
"85","9.964599","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","234","Protected Payload (KP0)"
"86","9.964875","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","86","Protected Payload (KP0)"
"87","9.966378","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","1292","Handshake, DCID=f9ba9f5a3c55e09a"
"88","9.966523","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","135","Handshake, DCID=f9ba9f5a3c55e09a"
"89","9.966680","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"90","9.970553","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","186","Protected Payload (KP0)"
"91","9.971056","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"92","10.078724","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","176","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"93","10.082622","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1288","Protected Payload (KP0)"
"94","10.082622","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"95","10.082622","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","732","Protected Payload (KP0)"
"96","10.082622","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","250","Protected Payload (KP0)"
"97","10.083358","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","91","Protected Payload (KP0)"
"98","10.083961","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","97","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"99","10.084465","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"100","10.084796","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"101","10.090319","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","87","Protected Payload (KP0)"
"102","10.121220","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","147","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"103","10.152203","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","90","Protected Payload (KP0)"
"104","10.175332","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","170","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"105","10.195124","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1288","Protected Payload (KP0)"
"106","10.195124","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"107","10.195124","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"108","10.195124","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","503","Protected Payload (KP0)"
"109","10.195124","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","219","Protected Payload (KP0)"
"110","10.195438","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","97","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"111","10.195533","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"112","10.195580","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"113","10.206921","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1287","Protected Payload (KP0)"
"114","10.206921","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"115","10.206921","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"116","10.206921","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"117","10.206921","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"118","10.207308","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"119","10.207452","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"120","10.208732","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"121","10.208732","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"122","10.208732","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"123","10.208732","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"124","10.208732","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"125","10.208988","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"126","10.209090","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"127","10.209158","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"128","10.209348","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","254","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"129","10.209849","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"130","10.211179","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"131","10.211179","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"132","10.211179","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","786","Protected Payload (KP0)"
"133","10.211357","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"134","10.211451","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"135","10.217758","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1285","Protected Payload (KP0)"
"136","10.217758","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"137","10.217758","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"138","10.217758","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"139","10.217758","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"140","10.217758","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"141","10.218427","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"142","10.218586","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"143","10.218666","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"144","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"145","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"146","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"147","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"148","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"149","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"150","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1292","Protected Payload (KP0)"
"151","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","804","Protected Payload (KP0)"
"152","10.221403","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","667","Protected Payload (KP0)"
"153","10.221644","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"154","10.221716","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"155","10.221760","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"156","10.221799","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"157","10.227062","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","379","Protected Payload (KP0)"
"158","10.227450","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","97","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"159","10.227454","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","201","Protected Payload (KP0)"
"160","10.257585","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","87","Protected Payload (KP0)"
"161","10.257802","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"162","10.274535","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","1288","Protected Payload (KP0)"
"163","10.274535","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","419","Protected Payload (KP0)"
"164","10.274811","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","97","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"165","10.276333","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","110","Protected Payload (KP0)"
"166","10.276509","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","93","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"167","10.302243","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","409","Protected Payload (KP0)"
"168","10.302606","2404:6800:4009:802::2004","2402:e280:3dea:2f0:c818:33e0:411:b0eb","QUIC","275","Protected Payload (KP0)"
"169","10.302611","2402:e280:3dea:2f0:c818:33e0:411:b0eb","2404:6800:4009:802::2004","QUIC","97","Protected Payload (KP0), DCID=f9ba9f5a3c55e09a"
"170","10.319626","192.168.1.17","192.168.1.254","DNS","74","Standard query 0x1404 AAAA lh3.google.com"
"171","10.319914","192.168.1.17","192.168.1.254","DNS","74","Standard query 0xb3cb A lh3.google.com"
"172","10.320102","192.168.1.17","192.168.1.254","DNS","74","Standard query 0xb6aa HTTPS lh3.google.com"
"173","10.327687","192.168.1.254","192.168.1.17","DNS","110","Standard query response 0xb3cb A lh3.google.com CNAME lh2.l.google.com A 142.250.183.14"
