Time,Source,Destination,Length,Protocol,TTL,Source Port,Destination Port,TCP Flags,Info,Time Delta
0.4868104805084566,192.168.1.10,192.168.1.20,1166,1,95,26682,36797,SYN,ICMP Echo Request,0.0
0.50290556650228,192.168.1.10,192.168.1.20,1499,1,91,19966,54834,SYN,ICMP Echo Request,0.01609508599382342
0.7654318173976578,192.168.1.10,192.168.1.20,900,6,52,58025,2923,SYN,TCP Port 58025 > 2923 [Data],0.26252625089537773
1.0412188716234803,192.168.1.10,192.168.1.20,1334,1,64,19455,57910,SYN,ICMP Echo Request,0.2757870542258225
2.1909040121114147,192.168.1.10,192.168.1.20,1170,17,107,3771,2291,SYN,UDP Port 3771 > 2291 [Request],1.1496851404879345
3.1325039822184286,192.168.1.10,192.168.1.20,1135,6,89,59343,32575,RST,TCP Port 59343 > 32575 [Data],0.9415999701070139
4.923433266562322,192.168.1.10,192.168.1.20,1084,17,53,60174,51704,SYN,UDP Port 60174 > 51704 [Request],1.790929284343893
5.113824883079071,192.168.1.10,192.168.1.20,161,17,120,1213,12418,SYN,UDP Port 1213 > 12418 [Request],0.19039161651674963
5.6098614191284355,192.168.1.10,192.168.1.20,506,17,80,65469,4580,SYN,UDP Port 65469 > 4580 [Request],0.49603653604936415
5.811043019043231,192.168.1.10,192.168.1.20,1278,17,122,20142,4914,SYN,UDP Port 20142 > 4914 [Request],0.20118159991479523
1.6523315728128767,192.168.1.10,192.168.1.20,2000,1,250,42458,20142,SYN,ICMP Echo Request,-4.158711446230354
2.015619432781635,192.168.1.10,192.168.1.20,3000,1,250,26682,36797,SYN,ICMP Echo Request,0.36328785996875834
2.1183967477841414,192.168.1.10,192.168.1.20,2000,6,5,19966,54834,SYN,TCP Port 19966 > 54834 [Data],0.10277731500250642
3.271147510882803,192.168.1.10,192.168.1.20,2000,1,5,58025,2923,SYN,ICMP Echo Request,1.1527507630986618
3.8512383534682018,192.168.1.10,192.168.1.20,3000,17,250,19455,57910,SYN,UDP Port 19455 > 57910 [Request],0.5800908425853986
3.9813905874226503,192.168.1.10,192.168.1.20,3000,6,250,3771,2291,ACK,TCP Port 3771 > 2291 [Data],0.13015223395444853
4.664937815556801,192.168.1.10,192.168.1.20,2000,17,250,59343,32575,SYN,UDP Port 59343 > 32575 [Request],0.6835472281341506
4.69993153700028,192.168.1.10,192.168.1.20,5000,17,5,60174,51704,SYN,UDP Port 60174 > 51704 [Request],0.03499372144347923
7.100354424393304,192.168.1.10,192.168.1.20,2000,17,250,1213,12418,SYN,UDP Port 1213 > 12418 [Request],2.400422887393024
7.39981220123399,192.168.1.10,192.168.1.20,2000,17,5,65469,4580,SYN,UDP Port 65469 > 4580 [Request],0.2994577768406863
