Time,Source,Destination,Length,Protocol,TTL,Source Port,Destination Port,TCP Flags,Info,Time Delta
1.0117295509275495,192.168.1.8,192.168.1.20,1166,6,115,30151,3051,PSH,TCP Port 30151 > 3051 [Data],0.0
1.3891262597226492,192.168.1.8,192.168.1.20,1499,6,123,41421,3719,RST,TCP Port 41421 > 3719 [Data],0.3773967087950998
2.0995634368568394,192.168.1.8,192.168.1.20,900,1,91,62166,59863,SYN,ICMP Echo Request,0.7104371771341902
4.4808289667028145,192.168.1.8,192.168.1.20,1334,1,102,26875,49214,SYN,ICMP Echo Request,2.381265529845975
4.767567789686113,192.168.1.8,192.168.1.20,1170,1,75,2040,6282,SYN,ICMP Echo Request,0.2867388229832981
5.295849764568786,192.168.1.8,192.168.1.20,1135,17,39,25277,23026,SYN,UDP Port 25277 > 23026 [Request],0.528281974882673
6.704598912107369,192.168.1.8,192.168.1.20,1084,1,78,56615,40528,SYN,ICMP Echo Request,1.4087491475385834
6.964404069024763,192.168.1.8,192.168.1.20,161,17,66,25300,34183,SYN,UDP Port 25300 > 34183 [Request],0.2598051569173938
7.044508347574939,192.168.1.8,192.168.1.20,506,17,109,24271,15010,SYN,UDP Port 24271 > 15010 [Request],0.08010427855017621
7.3866486514619965,192.168.1.8,192.168.1.20,1278,1,112,25324,62882,SYN,ICMP Echo Request,0.3421403038870574
7.562457009962059,192.168.1.8,192.168.1.20,370,17,67,9553,64800,SYN,UDP Port 9553 > 64800 [Request],0.1758083585000625
10.217407095842685,192.168.1.8,192.168.1.20,127,1,81,18286,13690,SYN,ICMP Echo Request,2.6549500858806256
11.868294176327254,192.168.1.8,192.168.1.20,1436,1,35,10292,39684,SYN,ICMP Echo Request,1.6508870804845692
12.871788366847785,192.168.1.8,192.168.1.20,1163,6,33,22295,4585,SYN,TCP Port 22295 > 4585 [Data],1.0034941905205308
14.923308097368597,192.168.1.8,192.168.1.20,911,1,37,13209,27878,SYN,ICMP Echo Request,2.0515197305208126
16.551277038109152,192.168.1.8,192.168.1.20,170,6,85,64728,65529,PSH,TCP Port 64728 > 65529 [Data],1.6279689407405549
16.757772514467792,192.168.1.8,192.168.1.20,1372,1,35,22267,39976,SYN,ICMP Echo Request,0.20649547635863996
18.988585919703354,192.168.1.8,192.168.1.20,809,1,85,40123,53275,SYN,ICMP Echo Request,2.230813405235562
19.763685821669526,192.168.1.8,192.168.1.20,383,6,124,9595,23686,PSH,TCP Port 9595 > 23686 [Data],0.775099901966172
21.41103411297309,192.168.1.8,192.168.1.20,1477,6,94,58860,9416,PSH,TCP Port 58860 > 9416 [Data],1.6473482913035653
23.675276762259323,192.168.1.8,192.168.1.20,845,1,49,41000,31559,SYN,ICMP Echo Request,2.2642426492862313
24.05800747867764,192.168.1.8,192.168.1.20,425,17,121,39068,14091,SYN,UDP Port 39068 > 14091 [Request],0.3827307164183189
24.174599638801492,192.168.1.8,192.168.1.20,1255,6,75,52238,49057,PSH,TCP Port 52238 > 49057 [Data],0.11659216012385087
24.433286384940875,192.168.1.8,192.168.1.20,995,17,65,62252,53280,SYN,UDP Port 62252 > 53280 [Request],0.25868674613938225
